Epoch [1/100], Loss: 0.6870
Validation Loss: 0.7025, Accuracy: 62.50%
Epoch [2/100], Loss: 0.6536
Validation Loss: 0.7100, Accuracy: 62.50%
Epoch [3/100], Loss: 0.5600
Validation Loss: 0.5960, Accuracy: 62.50%
Epoch [4/100], Loss: 0.4872
Validation Loss: 0.5940, Accuracy: 68.75%
Epoch [5/100], Loss: 0.4021
Validation Loss: 0.5851, Accuracy: 81.25%
Epoch [6/100], Loss: 0.3803
Validation Loss: 0.7467, Accuracy: 68.75%
Epoch [7/100], Loss: 0.3435
Validation Loss: 1.0806, Accuracy: 50.00%
Epoch [8/100], Loss: 0.3970
Validation Loss: 0.9256, Accuracy: 68.75%
Epoch [9/100], Loss: 0.3145
Validation Loss: 0.8552, Accuracy: 56.25%
Epoch [10/100], Loss: 0.2989
Validation Loss: 1.0373, Accuracy: 68.75%
Epoch [11/100], Loss: 0.2973
Validation Loss: 1.1310, Accuracy: 56.25%
Epoch [12/100], Loss: 0.2871
Validation Loss: 0.8625, Accuracy: 56.25%
Epoch [13/100], Loss: 0.2989
Validation Loss: 1.0561, Accuracy: 56.25%
Epoch [14/100], Loss: 0.2818
Validation Loss: 0.8429, Accuracy: 68.75%
Epoch [15/100], Loss: 0.3118
Validation Loss: 1.0126, Accuracy: 56.25%
Epoch [16/100], Loss: 0.2751
Validation Loss: 1.2898, Accuracy: 62.50%
Epoch [17/100], Loss: 0.3024
Validation Loss: 0.7183, Accuracy: 75.00%
Epoch [18/100], Loss: 0.2604
Validation Loss: 0.7793, Accuracy: 56.25%
Epoch [19/100], Loss: 0.2635
Validation Loss: 0.8300, Accuracy: 68.75%
Epoch [20/100], Loss: 0.2593
Validation Loss: 0.8786, Accuracy: 56.25%
Epoch [21/100], Loss: 0.2613
Validation Loss: 0.7817, Accuracy: 62.50%
Epoch [22/100], Loss: 0.2462
Validation Loss: 0.4836, Accuracy: 81.25%
Epoch [23/100], Loss: 0.2532
Validation Loss: 0.7276, Accuracy: 62.50%
Epoch [24/100], Loss: 0.2574
Validation Loss: 0.9444, Accuracy: 62.50%
Epoch [25/100], Loss: 0.2380
Validation Loss: 0.8638, Accuracy: 50.00%
Epoch [26/100], Loss: 0.2274
Validation Loss: 0.8849, Accuracy: 56.25%
Epoch [27/100], Loss: 0.2361
Validation Loss: 0.7499, Accuracy: 62.50%
Epoch [28/100], Loss: 0.2301
Validation Loss: 0.6111, Accuracy: 68.75%
Epoch [29/100], Loss: 0.2210
Validation Loss: 1.1824, Accuracy: 62.50%
Epoch [30/100], Loss: 0.2332
Validation Loss: 1.3659, Accuracy: 56.25%
Epoch [31/100], Loss: 0.2424
Validation Loss: 1.2988, Accuracy: 50.00%
Epoch [32/100], Loss: 0.2287
Validation Loss: 0.9219, Accuracy: 56.25%
Epoch [33/100], Loss: 0.2169
Validation Loss: 0.8380, Accuracy: 62.50%
Epoch [34/100], Loss: 0.2192
Validation Loss: 1.0575, Accuracy: 62.50%
Epoch [35/100], Loss: 0.2262
Validation Loss: 0.6566, Accuracy: 75.00%
Epoch [36/100], Loss: 0.2207
Validation Loss: 0.4457, Accuracy: 75.00%
Epoch [37/100], Loss: 0.2129
Validation Loss: 0.7557, Accuracy: 62.50%
Epoch [38/100], Loss: 0.1998
Validation Loss: 0.7080, Accuracy: 68.75%
Epoch [39/100], Loss: 0.2156
Validation Loss: 1.0397, Accuracy: 56.25%
Epoch [40/100], Loss: 0.2138
Validation Loss: 0.8568, Accuracy: 56.25%
Epoch [41/100], Loss: 0.2080
Validation Loss: 0.4695, Accuracy: 75.00%
Epoch [42/100], Loss: 0.1872
Validation Loss: 1.1487, Accuracy: 56.25%
Epoch [43/100], Loss: 0.1974
Validation Loss: 0.8894, Accuracy: 68.75%
Epoch [44/100], Loss: 0.1952
Validation Loss: 0.4949, Accuracy: 75.00%
Epoch [45/100], Loss: 0.1951
Validation Loss: 0.7775, Accuracy: 62.50%
Epoch [46/100], Loss: 0.1809
Validation Loss: 1.0025, Accuracy: 62.50%
Epoch [47/100], Loss: 0.2016
Validation Loss: 1.1761, Accuracy: 56.25%
Epoch [48/100], Loss: 0.1857
